0.000000000000000000e+00;1.636989795918367179e+02
1.000000000000000000e+00;1.662806122448979522e+02
2.000000000000000000e+00;1.685153061224489761e+02
3.000000000000000000e+00;1.716989795918367179e+02
4.000000000000000000e+00;1.731887755102040671e+02
5.000000000000000000e+00;1.747602040816326507e+02
6.000000000000000000e+00;1.763571428571428328e+02
7.000000000000000000e+00;1.774234693877550910e+02
8.000000000000000000e+00;1.778061224489795791e+02
9.000000000000000000e+00;1.789999999999999716e+02
1.000000000000000000e+01;1.824693877551020194e+02
1.100000000000000000e+01;1.882346938775509955e+02
1.200000000000000000e+01;1.957142857142856940e+02
1.300000000000000000e+01;2.025459183673469283e+02
1.400000000000000000e+01;2.080153061224489761e+02
1.500000000000000000e+01;2.119591836734693686e+02
1.600000000000000000e+01;2.142551020408162969e+02
1.700000000000000000e+01;2.131122448979591582e+02
1.800000000000000000e+01;2.144795918367346701e+02
1.900000000000000000e+01;2.130102040816326223e+02
2.000000000000000000e+01;2.084132653061224403e+02
2.100000000000000000e+01;2.054081632653061149e+02
2.200000000000000000e+01;2.021071428571428328e+02
2.300000000000000000e+01;1.978367346938775313e+02
2.400000000000000000e+01;1.906887755102040671e+02
2.500000000000000000e+01;1.860357142857142776e+02
2.600000000000000000e+01;1.781275510204081627e+02
2.700000000000000000e+01;1.736887755102040671e+02
2.800000000000000000e+01;1.690459183673469283e+02
2.900000000000000000e+01;1.631122448979591582e+02
3.000000000000000000e+01;1.604081632653061149e+02
3.100000000000000000e+01;1.575459183673469283e+02
3.200000000000000000e+01;1.570918367346938567e+02
3.300000000000000000e+01;1.570357142857142776e+02
3.400000000000000000e+01;1.603010204081632537e+02
3.500000000000000000e+01;1.609081632653061149e+02
